新闻类别	标题	发布时间	链接详情	新闻内容
finance	以“券”为媒点燃消费热 多地助推秋季消费升温	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335992.html	当前，我国居民消费市场蓬勃发展，正从传统的以餐饮、购物为主的生活消费，向融合文化、旅游、娱乐等多种业态的消费集聚转变。
finance	以“券”为媒点燃消费热 多地助推秋季消费升温	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335992.html	中国数实融合50人论坛智库专家洪勇表示，随着消费券的广泛使用，消费市场的活跃度将进一步得到提升，为整体经济向好发挥积极作用。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	“现在真是太方便了，在家门口就能吃到可口的饭菜！”在北京市安河家园社区养老服务驿站，时至正午，餐厅内热闹而有序，排队等候就餐的老人络绎不绝。正在吃饭的老人们围坐在餐桌旁，边吃边聊家常。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	“我住在安河家园六里，走过来就5分钟。之前没有养老餐桌，自己做一顿饭得吃好几顿，这下天天都能吃上热乎新鲜的饭菜了。”73岁的漆阿姨说。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	这个位于北京海淀北部、最近上新的养老助餐点，是北京大力推进老年助餐服务的一个缩影。据北京市民政局党组成员、副局长郭汉桥介绍，近年来，北京大力完善助餐服务体系，推动城六区51家400平方米以上养老驿站转型升级、开办社区餐厅，鼓励社会餐饮企业参与养老助餐，目前已累计建成运营养老助餐点2256家。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	数据显示，截至2023年底，我国60周岁及以上老年人口达到2.97亿，占总人口比重达到21.1%。随着人口老龄化程度加深，高龄老人数量持续增长，面临着做饭难、吃饭难的问题，助餐服务已成为老年群体排名靠前的服务需求。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	围绕老年人就餐的实际困难，各地结合自身财力和实际情况，积极构建覆盖城乡、布局合理、共建共享的老年助餐服务网络。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	在江西，目前已建设日间照料中心4234家，覆盖90%以上城市社区。发展老年助餐服务，建成城市老年助餐点1700个，具备助餐功能的农村互助养老点9300个。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	让老年人在家门口享受幸福“食”光，山西明确将老年助餐服务列为各级政府的重要民生工程，积极推进健全老年助餐服务设施、发展老年助餐服务。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	优化和扩大养老服务供给，既帮助老年人和子女解决急难愁盼问题、提高生活品质，也孕育着服务消费的新机遇。围绕进一步创新老年助餐服务形式，近年来，各地因地制宜地开展了多项探索。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	拓宽老年助餐的社会参与度。上海黄埔区积极推动实施企业职工职业培训补贴政策，“线上+线下”措施齐发力，解决职工职业技能培训难题、整体提高烹饪水平和服务水平。与此同时，街道也在社区食堂功能方面与周边社区、商家、企业、社会组织等共建单位协作，赋能茶咖等项目融入社区长者食堂，让居民暖心餐“进阶”为多功能的休闲餐。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	打通老年助餐“最后一公里”。杭州西湖区以西溪街道作为老年助餐服务试点，探索联合外卖平台构建老年食堂数字化新链路的模式，推动实现老年助餐服务全覆盖。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	“今天共有70多位老人订餐，要抓紧做好准备。”在西溪街道乐时坊老年食堂，周阿姨正在每一份盒饭上标记老人姓名，方便送餐小哥即取即走。5分钟后，小哥们如约而至。“今天我要给20位老人送餐，1个小时内必须全部送达。”一位送餐小哥正快速地把盒饭装进送餐车后座保温箱。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	据民政部介绍，各地在老年助餐工作实践中，因地制宜发展出了“养老机构+助餐”新形式，过去养老机构的餐饮服务只管机构内的老人，现在通过拓展功能，可以向社会上的老人提供助餐服务，很好地利用了现有资源。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	还有“社会餐饮+委托服务”“中央厨房+专业配送”“线上平台订餐+线下送餐”“餐桌+课桌”等老年助餐模式。有些老年食堂，吃饭时桌子是餐桌，饭后又变成了课桌，向老年人普及健康知识，提供更加丰富多样的养老选择。
finance	财经观察：一碗热饭吃出“幸福晚年” 老年助餐服务扩面提质	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335948.html	“今年中央财政安排3亿元引导资金，支持发展老年助餐服务。”9月23日，民政部副部长唐承沛在国新办新闻发布会上介绍，一些地方已经形成了15分钟老年助餐服务圈，老年人在家门口就能享受到便捷的助餐服务，助餐模式日益丰富。下一步将有序推动老年助餐服务扩面提质增效，重点服务高龄、空巢、独居、失能等特殊困难老年人就餐刚需。
finance	量子处理器计算能力强于经典超算	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335923.html	科技日报北京10月9日电 （记者张梦然）《自然》9日发表的最新论文中，美国科学家团队探索了量子回路的复杂性。他们新展示的一个量子处理器，已经能够执行现有超级计算机无法完成的计算任务。这项实验属于一个大规模深入研究的一部分，旨在调查量子处理器在背景噪声干扰下进行复杂计算的潜在能力，这些干扰一直是量子处理器展现能力时面临的重大挑战。
finance	量子处理器计算能力强于经典超算	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335923.html	量子处理器是一类遵循量子力学规律进行高速数学和逻辑运算、存储及处理量子信息的物理装置。而当某个装置处理和计算的是量子信息、运行的是量子算法时，它就被称为量子计算机。量子处理器是量子计算机中的核心部件，量子计算机依靠它进行高速运算、处理量子信息。
finance	量子处理器计算能力强于经典超算	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335923.html	但量子处理器有一个特点，就是对噪声（温度、磁场甚至宇宙辐射等环境干扰）非常敏感。这些噪声会严重干扰其在复杂任务中的表现，而这些任务正是经典超级计算机无法完成、需要量子计算机“大展身手”的舞台。较长时间以来，科学家一直很难准确探测噪声究竟会如何影响量子线路的性能。
finance	量子处理器计算能力强于经典超算	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335923.html	此次，美国谷歌研究院科学家研究了量子处理器进入复杂计算输出领域的路径。他们使用了一种被称为随机线路取样的方法，来测试超导量子比特（量子计算机的基础单元）2D网格的保真度。随机线路取样是评估量子计算机与经典超级计算机表现的基准。
finance	量子处理器计算能力强于经典超算	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335923.html	这些实验展示了两个阶段之间的转变：在第二个阶段即所谓“低噪声阶段”中，研究团队证实了量子计算机的计算复杂性，足以超越经典超级计算机。此外，他们还用67量子比特的“悬铃木”（Sycamore）芯片展示了超越经典的性能。这一实验和理论工作证实了存在一种稳定的、计算上复杂的相态，这种相态可以利用当前的量子处理器达到。
finance	量子处理器计算能力强于经典超算	2024-10-10	http://finance.people.com.cn/n1/2024/1010/c1004-40335923.html	研究团队表示，这一发现增进了人们对量子计算能力的理解。
finance	推动能源绿色低碳转型 绿电生产消费规模持续扩大	2024-10-09	http://finance.people.com.cn/n1/2024/1009/c1004-40335543.html	人民网北京10月9日电 （记者杜燕飞）近年来，在“双碳”目标下，我国大力推进新型电力系统建设，新能源发电持续快速发展。
finance	推动能源绿色低碳转型 绿电生产消费规模持续扩大	2024-10-09	http://finance.people.com.cn/n1/2024/1009/c1004-40335543.html	中国电力企业联合会（以下简称中电联）日前发布的数据显示，8月底，我国新能源发电装机规模（包括风力发电、太阳能发电、生物质发电）为12.7亿千瓦，占总发电装机比重超过40%，达到40.7%。新能源持续快速发展带动非化石能源发电装机规模及比重持续较快提升，能源绿色转型成效显著。
finance	推动能源绿色低碳转型 绿电生产消费规模持续扩大	2024-10-09	http://finance.people.com.cn/n1/2024/1009/c1004-40335543.html	“8月份，我国非化石能源发电量占当月全社会用电量的40%，同比增加534亿千瓦时，占当月全社会用电量增量的三分之二。”中电联常务副理事长杨昆说，随着电源结构的绿色转型，越来越多电力消费需求将由非化石能源发电提供。
finance	推动能源绿色低碳转型 绿电生产消费规模持续扩大	2024-10-09	http://finance.people.com.cn/n1/2024/1009/c1004-40335543.html	中电联数据显示，“十四五”以来，我国非化石能源发电装机规模累计增长了78.5%，装机比重也持续提升，从2020年底的44.8%提高至2024年8月底的56.2%。
finance	推动能源绿色低碳转型 绿电生产消费规模持续扩大	2024-10-09	http://finance.people.com.cn/n1/2024/1009/c1004-40335543.html	专家表示，作为实现“双碳”目标的关键载体，新型电力系统建设不断深化，支撑了新能源发电高效稳定消纳，进一步提升了电能的“绿色”属性。随着源网荷储各环节的协调推进，新型电力系统将支撑更高比例装机的新能源，推动能源绿色低碳转型，有力促进能源电力新质生产力的培育和发展。
finance	推动能源绿色低碳转型 绿电生产消费规模持续扩大	2024-10-09	http://finance.people.com.cn/n1/2024/1009/c1004-40335543.html	与此同时，随着我国能源绿色低碳转型不断加速，绿色电力交易规模快速增长。中电联数据显示，1至8月，我国绿色电力交易电量达1775亿千瓦时，同比增长223%，绿证交易超2亿张，同比增长近5倍。绿电、绿证市场进一步活跃，绿色电力需求快速增长。
finance	推动能源绿色低碳转型 绿电生产消费规模持续扩大	2024-10-09	http://finance.people.com.cn/n1/2024/1009/c1004-40335543.html	绿色电力是指风力发电、太阳能发电、常规水电、生物质发电、地热发电等可再生能源项目所生产的电力。近年来，能源、钢铁等行业领域位居绿色电力消费前列，以企业为代表的经营主体加快形成绿色低碳的生产方式，推进我国能源绿色转型发展。
finance	推动能源绿色低碳转型 绿电生产消费规模持续扩大	2024-10-09	http://finance.people.com.cn/n1/2024/1009/c1004-40335543.html	“近年来我国绿色电力生产和消费规模不断扩大，反映了社会对绿电的需求在快速提高，新能源环境价值正在逐步体现，将进一步推动我国能源绿色低碳转型发展。”杨昆说。
finance	铁路迎来返程客流高峰 各地铁路部门增加运力全力保障旅客出行	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333614.html	人民网北京10月6日电 （记者乔雪峰）记者从国铁集团获悉，10月6日，全国铁路迎来返程客流高峰，预计发送旅客1873万人次，计划加开旅客列车1432列。10月5日，全国铁路发送旅客1788.1万人次。铁路黄金周运输启动以来，全国铁路旅客发送量已连续6天超1700万人次，运输安全平稳有序。
finance	铁路迎来返程客流高峰 各地铁路部门增加运力全力保障旅客出行	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333614.html	“截至10月6日9时，铁路12306已累计售出黄金周运输期间车票1.55亿张。”国铁集团相关负责人表示，从12306预售情况来看，全国铁路进入返程客流高峰，长途客流开始攀升，总体客流呈现明显增长态势，部分时段和区段客流高度集中，运力与需求矛盾比较突出。
finance	铁路迎来返程客流高峰 各地铁路部门增加运力全力保障旅客出行	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333614.html	据该负责人介绍，10月6日，北京至上海、成都至西安、广州至湛江、广州至南宁、大连至沈阳、北京至呼和浩特、北京至太原、广州至长沙、北京至沈阳、深圳至长沙等区间客流相对集中。从余票情况看， 10月6日至8日，北京至保定、石家庄、郑州、大同、太原、沈阳，上海至苏州、南京、杭州、徐州、合肥，广州至南宁、南昌、长沙、衡阳、贵港，杭州至合肥，武汉至信阳，兰州至西宁，成都至重庆等区间尚有余票，旅客朋友可通过铁路12306关注各地加开列车情况和余票信息，根据不同时段、不同方向余票情况，选择错峰出行，也可以选择候补购票、中转换乘等方式购票。
finance	铁路迎来返程客流高峰 各地铁路部门增加运力全力保障旅客出行	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333614.html	据了解，各地铁路部门积极应对返程客流高峰，千方百计挖掘运输潜力，及时在热门方向、时段和区间加开旅客列车，增加运力投放，全力服务和保障旅客出行。
finance	铁路迎来返程客流高峰 各地铁路部门增加运力全力保障旅客出行	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333614.html	此外，各地铁路部门加强站车服务，优化进出站流线，增加验证、安检、检票通道和售票窗口数量，加大安检查危力度，保障餐饮、供水等基本服务，努力供应“一盒好饭”，强化与地方市政交通接驳，助力旅客平安有序返程。
finance	铁路迎来返程客流高峰 各地铁路部门增加运力全力保障旅客出行	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333614.html	铁路部门提示广大旅客，进入返程高峰期，铁路客流较大，请及时关注出行服务信息，预留充足时间进站乘车，严格按规定携带随身物品，按照车票标注的车次、日期、区间、座号有序乘车，切勿“买短乘长”，做到文明出行，共同维护良好出行环境。
finance	国庆假期跨区域人员流动量连续5天超2.8亿人次	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333613.html	人民网北京10月6日电 （记者乔雪峰）记者从交通运输部获悉，10月5日（国庆假期第5日），全社会跨区域人员流动量28162.64万人次，环比下降0.8%，比2023年同期增长2.2%，比2019年同期增长33.6%。
finance	国庆假期跨区域人员流动量连续5天超2.8亿人次	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333613.html	公路方面，10月5日，公路人员流动量（包括高速公路及普通国省道非营业性小客车人员出行量、公路营业性客运量）25985万人次，环比下降1.0%，比2023年同期增长1.9%，比2019年同期增长34.4%。其中高速公路及普通国省道非营业性小客车人员出行量22405万人次，环比下降1.8%，比2023年同期增长2.2%，比2019年同期增长74.5%；公路营业性客运量3580万人次，环比增长4.2%，比2023年同期增长0.5%，比2019年同期下降44.9%。
finance	国庆假期跨区域人员流动量连续5天超2.8亿人次	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333613.html	铁路方面，10月5日，铁路客运量1788.1万人次，环比增长1.9%，比2023年同期增长5.1%，比2019年同期增长31.6%。
finance	国庆假期跨区域人员流动量连续5天超2.8亿人次	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333613.html	民航方面，10月5日，民航客运量231.67万人次，环比增长4.9%，比2023年同期增长14.9%，比2019年同期增长20.5%。
finance	国庆假期跨区域人员流动量连续5天超2.8亿人次	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333613.html	水路方面，10月5日，水路客运量157.87万人次，环比下降12.6%，比2023年同期下降4.7%，比2019年同期下降16.3%。
finance	国庆假期跨区域人员流动量连续5天超2.8亿人次	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333613.html	记者梳理发现，自10月1日到10月5日，国庆假期全社会跨区域人员流动量已经连续5天超2.8亿人次，10月1日当天跨区域人员流动量更是超过3.3亿人次。
finance	国庆假期跨区域人员流动量连续5天超2.8亿人次	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333613.html	10月6日，国庆假期进入后半段，各地迎来返程阶段，客流持续高位运行。各地交通运输部门继续全力做好交通运输服务保障工作。
finance	国庆假期跨区域人员流动量连续5天超2.8亿人次	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333613.html	在浙江，为确保轨道交通运营安全平稳，当地交通运输部门指导运营单位提前制定假日运输保障方案、强化站点安检、做好安全隐患排查治理工作。督促各市落实危险货物运输重大事故隐患排查，确保隐患发现在早，化解在小。指导相关单位严格对照专项施工方案，落实安全防护及管控措施；同时加强与公安交警、路政等部门协同，避免因施工导致长时间、长路段拥堵。
finance	国庆假期跨区域人员流动量连续5天超2.8亿人次	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333613.html	针对国庆假期探亲旅游高峰，杭州等旅游热门城市延长地铁营运时间，视实际客流情况加开地铁班次。与文旅部门合作加大接驳摆渡公共交通运力投放力度，指导舟山、杭州等重点区域制订客流高峰旅客应急疏运预案。
finance	国庆假期跨区域人员流动量连续5天超2.8亿人次	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333613.html	在重庆，当地交通运输委多举措抓好国庆假期运输服务保障工作。一是研判往年出行趋势，在各大热门景点、枢纽常态配置应急网约车、出租车350辆，临时增开旅游专线和公轨接驳线132条、“黄金3号”游轮1艘，公路沿线服务设施（含观景平台）应开尽开，全面联通中心城区28个重点交通枢纽，更好满足游客“吃喝玩游购”等出行需求。二是组织5支专项督查组深入全市32个在建重点项目开展暗访督导，要求做到安全施工、该停则停；除全幅断道施工项目外，暂停涉路施工，全力保通保畅。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	10月3日晚上12点左右，夜幕深沉，星辰点点，晚风带着初秋的微凉与湿润，穿梭在湖南长沙霓虹闪烁的街道间。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	来自河北的刘先生带着家人，已经在这里进行了一场“citywalk”——白天逛了岳麓书院、橘子洲、天心阁、古开福寺等景点，晚上到湘江边上看沿江夜景，到杜甫江阁拍汉服写真，还可以到太平老街、黄兴步行街等地品尝夜市美食。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	“这里夜市收摊时，早市小摊便搭起来了。臭豆腐、糖油粑粑、酱板鸭、米粉等等一系列小吃，让人吃得停不下来……”刘先生告诉记者，长沙夜市和早市“无缝衔接”，真的是24小时不打烊的城市。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	 不仅长沙，今年国庆期间，各地创新供给，推动24小时消费场景不断延展，优化公共服务环境，借助数智手段丰富消费者出游选择，带动“不打烊”的消费活力持续攀升。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	品美食、逛夜市、赏美景，国庆期间，各地不少文旅休闲场所丰富供给，构建起“不打烊”的消费场景。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	10月1日，广西象山景区“漓·象”咖啡船项目投入试营业，正式开启象山景区“音乐+夜经济”模式，让游客白天可登游船欣赏秀美桂林山水，乐享慢时光咖啡；晚上，听音乐、赏夜景、尝美食，尽享漓江夜生活，丰富的游玩业态吸引了大批市民游客前来打卡。据当地统计，国庆假期前两日，象山景区接待游客超6.6万人次，其中18时后接待游客量接近33%。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	不仅文旅景区，对于置身城市里的游客来说，全天候的消费场景也丰富多元。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	位于北京市朝阳区甜水园图书文化港的乐刻健身，24小时营业的模式，也吸引了不少深夜运动的“健身迷”。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	10月2日晚间11:30左右，正在锻炼的李先生告诉记者，平时工作养成了晚睡晚起的习惯，由于国庆期间工作需要值班，就选择像往常一样度过假期。“夜间锻炼比较安静，可以专心感受肌肉的发力。”王先生笑着说，健身房24小时营业，让不少“练友”在后半夜也可以感受运动的泵感。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	城市消费丰富多彩，乡村场景供给也别具特色。在湖北咸宁市咸安区大幕乡白云山的山顶上，“帐篷客”烧烤露营、观星摄影、避暑纳凉。在甘肃平凉市灵台县王家庄村，篝火晚会、夏夜“村BA”等活动热闹举办。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	业内人士表示，去年国家发展改革委发布的《关于恢复和扩大消费的措施》提出，推动夜间文旅消费规范创新发展，支持有条件的地区建设“24小时生活圈”。在此背景下，各地推动夜经济与当地饮食、节庆文化、特色体育活动等深度融合，探索形成有特色、有新意的24小时经济模式。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	工业和信息化部信息通信经济专家委员会委员盘和林认为，美食夜市、24小时健身等丰富了消费供给，甚至通过与科技和文旅等产业融合，形成新消费模式，一定程度上满足了消费者个性化、多样化的需求。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	 国庆期间，多地“客似云来”。为让更多游客愿意来、留得住、玩得好、愿消费，24小时精细化管理的服务，成为各地商家和政府部门“花式宠客”、接住流量的重要方式。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	“十一假期都住满了。随着大量游客出行，我的民宿也迎来了前所未有的机遇。”银川市一家民宿负责人王女士告诉记者，目前自己的民宿房间已超过10套。国庆前期，为了吸引游客，把每个房间装点成风格不同的户型，让游客根据个人喜好进行挑选，同时服务人员24小时轮岗为游客提供出行建议、美食地图、打卡攻略等。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	个性化、特色化的服务，也在山西颇为“吸睛”。为接住《黑神话·悟空》带来的文旅热度，山西的太山博物馆、双塔博物馆等全面取消实名预约并延长时间；临汾推出12个古建打卡点，设计个性化的通关文牒；还有多处景区结合《黑神话·悟空》举办鼓乐、晋剧、角色COS等现场表演，增强游客互动。同程旅行发布的“十一”中期盘点数据显示，国庆假期期间，山西旅游热度继续维持高位运转，大同、晋城酒店预订热度同比增长均超过50%。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	在拓展24小时消费场景中，夜间的公共服务也直接影响着消费者的体验感。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	在湖南，崀山舜皇里旅游度假区和锦绣恐龙乐园等多个景点，不仅在“不夜城”里设置了逛街、美食等体验场所，还为游客准备了热气球表演、魔术与杂技表演秀、飞天凤凰秀等，营造出丰富的夜间场景，增添“夜”态活力。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	在广东，广州市文化广电旅游局、江门市文化广电旅游体育局与喜茶共同举推出“喜游广东”打卡活动。游客参与互动打卡后即可获得体现广府文化、江门文化的限定贴纸和周边。茶饮店经理卓琳介绍说，国庆期间，当地特产小青柑搭配普洱原叶冲泡的“江门限定”芝芝青柑，在智能化点单系统帮助下，让不少游客在前往江门路上就开始下单，体验智能消费新场景。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	此外，各地“旅游+”活动的揽客服务也进一步刺激了全天候的旅游消费意愿。携程数据显示，今年的全国国庆文化和旅游消费月将举办超3600项约2.4万场次文旅消费活动，比如上海节前面向餐饮、住宿、电影、体育等四个领域发放数亿元消费券等等，助力24小时不打烊的文旅消费热潮。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	在不少业内人士看来，24小时消费场景的拓展，囊括了时尚潮、文化芯、科技核，打造出包容多元、业态融合、动静相宜、安全便捷的业态模式，释放更大经济活力。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	科技核如何实现？就国庆期间而言，各地商圈、商家和文旅景区借助人工智能、5G、物联网、大数据、云计算、虚拟现实（VR）、增强现实（AR）等数智化手段，赋能消费场景的沉浸式体验、智慧化管理。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	其中，不少年轻消费者让“AI”成为出游搭子，借助“AI搭子”安排攻略、交通、票务、酒店等出行事项。通过支付宝智能体开放生态所打造的文旅智能体也增长亮眼，杭州城市文旅智能体“杭小忆”十一期间累计服务了近150万次，来杭游客用“杭小忆”AI伴游功能讲解了杭州景点42万次。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	此外在北京，第十四届“北京国际设计周—751国际设计节”系列活动贯穿了国庆假期。展出方将AI互动融入“太空嘉年华—度假太阳系”展览中，参观者可以看到十余个来源于《山海经》的虚拟现实巨型奇观，还原神话故事。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	在四川，剑门关景区将悠久的历史文化与虚拟现实技术相结合，推出VR《千年奇遇剑门关》。夜间，游客还可以欣赏全息投影、灯光秀演、真人演艺、声光互动等科技手段带来的《剑门长歌》实景崖壁灯光演艺秀。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	在辽宁，互联网、大数据等新技术同样提升了夜经济的管理和服务水平。沈阳市将夜市食品安全监管纳入“沈阳市市场监管局智慧监管”一体化平台，通过手机终端实现全覆盖智慧化监管。
finance	24小时不打烊 国庆多元场景拓展消费体验	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333551.html	也有业内人士表示，从最初的延长营业时间，到多业态的集约化经营，24小时消费场景的拓展已经由早期的灯光夜市转变为包括“食、游、购、娱、体、展、演”等在内的多元经济市场。接下来还可以在丰富多元消费供给结构、持续优化消费环境、加强城市精细化管理、提升夜间消费的便利性和安全性等方面继续发力，丰富“不打烊”的消费业态。
finance	消费品以旧换新加快推进 绿色消费活力迸发	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333543.html	对1级能效或水效标准的16类家电产品补贴20%、出台更有力度的汽车置换更新补贴政策、发放家居家装消费券3亿元……当国庆假期遇上第三届中国（四川）国际熊猫消费节，巴蜀大地上，政策红利正激发消费活力，点亮美好生活。
finance	消费品以旧换新加快推进 绿色消费活力迸发	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333543.html	今年以来，消费品以旧换新政策不断优化扩围，各类政策红利逐步落实落细，北京、天津、上海等20个地区出台了个人消费者汽车置换更新政策；江苏、浙江、湖北等31个地区均已实施新的家电以旧换新补贴；京东、天猫、苏宁易购等电商平台全面参与家电以旧换新……这个国庆假期，消费品“以旧换新”加快推进，绿色消费活力持续迸发。
finance	消费品以旧换新加快推进 绿色消费活力迸发	2024-10-06	http://finance.people.com.cn/n1/2024/1006/c1004-40333543.html	在此前举行的国家发展改革委新闻发布会上，财政部有关负责人介绍，已下达600亿元超长期特别国债资金，保障中秋、国庆期间消费品以旧换新补贴资金需求。
